_uid_,id,state,county,month,day,hour,minute,ve_forms,persons,peds,nhs,road_fnc,route,sp_jur,harm_ev,man_coll,rel_road,lgt_cond,weather,not_hour,not_min,arr_hour,arr_min,hosp_hr,hosp_mn,sch_bus,cf1,cf2,cf3,fatals,day_week,drunk_dr,st_case,city,milept,year,tway_id,tway_id2,rail,latitude,longitud,road_fnc_1,streetid
784,49,42,101,7,9,23,42,2,2,0,0,16,6,0,12,2,1,3,1,23,43,23,46,0,2,0,0,0,0,1,6,0,420622,6540,0.000000000000000,2004,AMERICAN ST,99999999999999999999,0000000,39.991205559999997,-75.136166669999994,16,10146
4,50,42,101,7,21,0,21,1,1,0,0,13,3,0,1,0,6,3,1,0,20,0,26,0,0,0,0,0,0,1,4,1,420562,6540,29.000000000000000,2004,SR-3007,99999999999999999999,0000000,39.969927779999999,-75.188730559999996,13,37575
475,51,42,101,5,8,20,41,1,3,2,0,16,6,0,8,0,1,3,1,20,40,20,48,20,55,0,0,0,0,1,7,0,420584,6540,0.000000000000000,2004,FIFTH ST,SIXTYSEVENTH AV,0000000,40.053330559999999,-75.126769440000004,16,40936
295,52,42,101,7,23,12,42,1,2,1,1,13,3,0,8,0,1,1,1,12,43,12,47,0,0,0,0,0,0,1,6,0,420615,6540,43.000000000000000,2004,SR-2009,TULIP ST,0000000,40.012191670000000,-75.069380559999999,13,9062
785,53,42,101,7,13,14,20,1,2,1,0,16,6,0,9,0,1,1,1,14,27,14,30,14,43,0,0,0,0,1,3,0,420616,6540,0.000000000000000,2004,MASTER ST,99999999999999999999,0000000,39.973116670000003,-75.147652780000001,16,19904
197,54,42,101,7,23,19,25,1,5,0,0,13,3,0,42,0,4,1,1,19,32,19,37,20,15,0,0,0,0,1,6,1,420617,6540,1.000000000000000,2004,SR-1022,EVANS ST,0000000,40.111505559999998,-75.000869440000002,13,17703
511,55,42,101,7,25,2,38,3,6,0,1,11,1,0,12,1,2,3,1,2,49,2,56,3,19,0,0,0,0,1,1,1,420627,6540,71.000000000000000,2004,I-95,99999999999999999999,0000000,39.911519439999999,-75.172888889999996,11,4672
107,56,42,101,8,6,18,40,1,1,0,1,11,1,0,25,0,8,1,1,18,42,18,50,0,0,0,0,0,0,1,6,1,420629,6540,21.000000000000000,2004,I-676,SR-8009,0000000,39.956899999999997,-75.144633330000005,11,31928
786,57,42,101,8,6,21,40,3,4,0,0,16,6,0,12,99,1,3,1,21,39,21,52,21,59,0,0,0,0,1,6,0,420630,6540,0.000000000000000,2004,TWENTYSECOND ST,INDIANA ST,0000000,40.000208330000000,-75.166583329999995,16,5433
675,58,42,101,7,16,23,0,2,2,0,0,16,6,0,12,5,1,3,1,23,0,23,3,23,26,0,0,0,0,1,6,0,420669,6540,0.000000000000000,2004,TIOGA ST,I ST,0000000,40.000861110000002,-75.110325000000003,16,8021
787,59,42,101,3,4,3,40,2,4,0,0,16,6,0,12,5,1,3,2,3,44,3,50,4,9,0,0,0,0,1,5,0,420683,6540,0.000000000000000,2004,NINTH ST,WYOMING AV,0000000,40.023452780000000,-75.139363889999998,16,37113
296,60,42,101,3,6,3,20,1,2,0,1,13,3,0,30,0,6,3,2,3,21,3,22,3,53,0,0,0,0,1,7,1,420684,6540,5.000000000000000,2004,SR-73,MONTOUR ST,0000000,40.058533330000003,-75.078719440000000,13,30450
788,61,42,101,7,22,18,40,1,1,0,0,14,3,0,39,0,4,1,1,18,37,18,44,18,54,0,20,0,0,1,5,1,420730,6540,6.000000000000000,2004,SR-4003,ABBOTTSFORD AV,0000000,40.017247220000002,-75.171894440000003,14,35482
198,62,42,101,2,25,0,50,4,5,0,1,13,2,0,12,1,1,3,1,1,1,1,6,1,21,0,0,0,0,1,4,1,420678,6540,151.000000000000000,2004,US-1,SR-1018,0000000,40.080919440000002,-75.028711110000003,13,23506
297,63,42,101,2,14,16,50,2,2,0,1,13,3,0,12,5,1,1,1,16,50,16,58,17,13,0,0,0,0,1,7,0,420679,6540,44.000000000000000,2004,SR-73,MILNOR ST,0000000,40.021677779999997,-75.038013890000002,13,37223
5,64,42,101,2,10,17,18,1,1,0,0,16,6,0,43,0,6,1,1,99,99,99,99,99,99,0,0,0,0,1,3,0,420680,6540,0.000000000000000,2004,CHAMOUNIX DR,99999999999999999999,0000000,40.003574999999998,-75.198374999999999,16,32471
298,65,42,101,1,24,18,25,1,2,1,1,13,2,0,8,0,1,3,1,99,99,99,99,99,99,0,0,0,0,1,7,1,420690,6540,132.000000000000000,2004,US-1,SR-1014,0000000,40.056605560000001,-75.046561109999999,13,18080
607,66,42,101,3,5,15,15,1,2,1,0,16,6,0,8,0,1,1,1,99,99,99,99,99,99,0,21,0,0,1,6,0,420706,6540,0.000000000000000,2004,CATHARINE ST,99999999999999999999,0000000,39.950355559999998,-75.238161109999993,16,12178
6,67,42,101,6,23,12,40,1,2,1,1,13,2,0,8,0,1,1,1,12,44,12,50,12,56,0,0,0,0,1,4,0,420887,6540,34.000000000000000,2004,US-1,MONUMENT RD,0000000,40.007147220000000,-75.213741670000005,13,31624
789,68,42,101,4,25,2,20,1,2,1,1,12,2,0,8,0,1,3,1,2,22,2,28,0,0,0,0,0,0,1,1,1,420991,6540,57.000000000000000,2004,US-1,SR-8041,0000000,40.018441670000001,-75.167833329999993,12,25522
7,69,42,101,12,23,0,37,2,4,0,0,13,3,0,12,5,1,3,1,0,37,0,41,1,22,0,0,0,0,1,5,0,420920,6540,1.000000000000000,2004,SR-4004,MOUNT PLEASANT ST,0000000,40.059619439999999,-75.187797219999993,13,6570
299,70,42,101,9,14,9,40,1,2,1,0,16,6,0,24,0,2,1,1,9,40,9,44,10,50,0,0,0,0,1,3,0,420948,6540,0.000000000000000,2004,LEVICK ST,99999999999999999999,0000000,40.016672219999997,-75.046313889999993,16,23519
